Location Name,Category,Regions Required,Skills Required,Items Required,QP Required,Plugin Task Type,Task Parameters,,,,,,,
Put a Whole Banana into a Bottle of Karamjan Rum,General,Karamja,,,,ChatMessageTask,1439,"""You stuff the banana into the neck of the bottle. You begin to wonder why.""",,,,,,
"Attempt to Shear ""The Thing""",General,Lumbridge Farms West,,,,ChatMessageTask,1439,"""The... whatever it is... manages to get away from you!""",,,,,,
Eat a Kebab,General,Al Kharid,,,,ChatMessageTask,1439,"""You eat the kebab.""",,,,,,
Return a Beer Glass to a Bar,General,Falador,,,,ChatMessageTask,1439,"""<player>|I've got this beer glass...""",,,,,,
Enter the Varrock Bear Cage,General,Varrock Palace,,,,StandInAreaTask,1439,3229,3505,0,3231,3503,0,
Equip a Cabbage Cape,General,Draynor Village,,,,ItemOperationTask,1439,Wear,13679,,,,,
Equip a Pride Scarf,General,Draynor Village,,,,ItemOperationTask,1439,Wear,21314,,,,,
Visit the Black Hole,General,"Draynor Village, Dwarven Mines",,,,StandInPositionTask,1439,1616,4728,2,,,,
Try to Equip Goblin Mail,General,Goblin,,,,ItemOperationTask,1439,Wear,288,,,,,
Equip an Orange Cape,General,Draynor Village,,,,ItemOperationTask,1439,Wear,1031,,,,,
Find a Needle in a Haystack,General,Haystack,,,,ChatMessageTask,1439,"""<player>|Wow! A needle! Now what are the chances of finding that?""",,,,,,
Insult the Homeless (but not Charlie he's cool),General,"Central Varrock, South of Varrock",,,,ChatMessageTask,1439,"""Tramp|Please yourself.""",,,,,,
Dance with Party Pete,General,Falador,,,,ChatMessageTask,1439,"""<player>|Show me your moves Pete!""",,,,,,
Read a Newspaper,General,Central Varrock,,,,ItemOperationTask,1439,Read,11171,,,,,
Add a Card to the Chronicle,General,Draynor Village,,,,MenuActionTask,1439,Use,Teleport card -> Chronicle,,,,,
Points: Cook's Assistant,Points,,,,,NonTask,,,,,,,,
Points: Demon Slayer,Points,,,,,NonTask,,,,,,,,
Points: The Restless Ghost,Points,,,,,NonTask,,,,,,,,
Points: Romeo & Juliet,Points,,,,,NonTask,,,,,,,,
Points: Sheep Shearer,Points,,,,,NonTask,,,,,,,,
Points: Shield of Arrav,Points,,,,,NonTask,,,,,,,,
Points: Ernest the Chicken,Points,,,,,NonTask,,,,,,,,
Points: Vampyre Slayer,Points,,,,,NonTask,,,,,,,,
Points: Imp Catcher,Points,,,,,NonTask,,,,,,,,
Points: Prince Ali Rescue,Points,,,,,NonTask,,,,,,,,
Points: Doric's Quest,Points,,,,,NonTask,,,,,,,,
Points: Black Knights' Fortress,Points,,,,,NonTask,,,,,,,,
Points: Witch's Potion,Points,,,,,NonTask,,,,,,,,
Points: The Knight's Sword,Points,,,,,NonTask,,,,,,,,
Points: Goblin Diplomacy,Points,,,,,NonTask,,,,,,,,
Points: Pirate's Treasure,Points,,,,,NonTask,,,,,,,,
Points: Rune Mysteries,Points,,,,,NonTask,,,,,,,,
Points: Misthalin Mystery,Points,,,,,NonTask,,,,,,,,
Points: The Corsair Curse,Points,,,,,NonTask,,,,,,,,
Points: X Marks the Spot,Points,,,,,NonTask,,,,,,,,
Points: Below Ice Mountain,Points,,,,,NonTask,,,,,,,,
