Region Name,Item Required,Outbound Connections,Resources
Barbarian Village,Area: Barbarian Village,"Edgeville, West Varrock, Draynor Manor Outskirts, Dwarven Mountain Pass","Spinning Wheel, Coal Ore, Anvil, Fly Fishing Spot, Meat, Canoe Tree, Barbarian, Zombie, Law Runes"
Draynor Manor Outskirts,Area: Draynor Manor,"Barbarian Village, Sourhog's Lair, Draynor Village, Falador East Outskirts",Goblin
Draynor Manor,Area: Draynor Manor,Draynor Village,
Falador East Outskirts,Area: Falador,"Dwarven Mountain Pass, Draynor Manor Outskirts, Falador Farms",
Dwarven Mountain Pass,Area: Dwarven Mines,"Goblin Village, Monastery, Barbarian Village, Falador East Outskirts, Falador","Anvil*, Wheat"
Dwarven Mines,Area: Dwarven Mines,"Monastery, Ice Mountain, Falador","Chisel, Bronze Ores, Iron Ore, Coal Ore, Gold Ore, Anvil, Pie Dish, Clay Ore"
Goblin Village,Area: Ice Mountain,"Wilderness, Dwarven Mountain Pass",Meat
Ice Mountain,Area: Ice Mountain,"Wilderness, Monastery, Dwarven Mines, Camdozaal*",
Camdozaal,Area: Ice Mountain,Ice Mountain,Clay Ore
Monastery,Area: Monastery,"Wilderness, Dwarven Mountain Pass, Dwarven Mines, Ice Mountain",Sheep
Falador,Area: Falador,"Dwarven Mountain Pass, Falador Farms, Dwarven Mines","Furnace, Chisel, Bowl, Cake Tin, Oak Tree, Guard, Imps, Duck, Makeover, Bar"
Falador Farms,Area: Falador Farms,"Falador, Falador East Outskirts, Draynor Village, Port Sarim, Rimmington, Crafting Guild Outskirts","Spinning Wheel, Meat, Egg, Milk, Oak Tree, Imps, Duck"
Port Sarim,Area: Port Sarim,"Falador Farms, Mudskipper Point, Rimmington, Karamja Docks, Crandor","Mind Runes, Shrimp Spot, Meat, Cheese, Tomato, Oak Tree, Willow Tree, Goblin, Potato"
Karamja Docks,Area: Mudskipper Point,"Port Sarim, Karamja",
Mudskipper Point,Area: Mudskipper Point,"Rimmington, Port Sarim","Anvil, Ice Giant, Nature Runes, Law Runes, Big Bones, Limpwurt Root"
Karamja,Area: Karamja,"Karamja Docks, Crandor","Gold Ore, Lobster Spot, Bowl, Cake Tin, Deadly Red Spider, Imps"
Crandor,Area: Crandor,"Karamja, Port Sarim","Coal Ore, Gold Ore, Moss Giant, Lesser Demon, Nature Runes, Law Runes, Big Bones, Limpwurt Root"
Rimmington,Area: Rimmington,"Falador Farms, Port Sarim, Mudskipper Point, Crafting Guild Peninsula, Corsair Cove","Chisel, Bronze Ores, Iron Ore, Gold Ore, Bowl, Cake Tin, Wheat, Oak Tree, Willow Tree, Crafting Moulds, Imps, Clay Ore, Onion"
Crafting Guild Peninsula,Area: Crafting Guild,"Falador Farms, Rimmington",Limpwurt Root
Crafting Guild Outskirts,Area: Crafting Guild,"Falador Farms, Crafting Guild","Sheep, Willow Tree, Oak Tree, Makeover"
Crafting Guild,Area: Crafting Guild*,Crafting Guild,"Spinning Wheel, Chisel, Silver Ore, Gold Ore, Meat, Milk, Clay Ore"
Draynor Village,Area: Draynor Village,"Draynor Manor, Lumbridge Farms West, HAM Hideout, Wizard Tower","Anvil, Shrimp Spot, Wheat, Cheese, Tomato, Willow Tree, Goblin, Zombie, Nature Runes, Law Runes, Imps"
Wizard Tower,Area: Wizard Tower,Draynor Village,"Lesser Demon, Rune Essence"
Corsair Cove,Area: Corsair Cove*,Rimmington,"Anvil, Meat, Limpwurt Root"
Al Kharid,Area: Al Kharid,"South of Varrock, Citharede Abbey, Lumbridge, Port Sarim","Furnace, Chisel, Bronze Ores, Iron Ore, Silver Ore, Coal Ore, Gold Ore, Shrimp Spot, Bowl, Cake Tin, Cheese, Crafting Moulds, Imps"
Citharede Abbey,Area: Citharede Abbey,Al Kharid,"Iron Ore, Coal Ore, Anvil, Hill Giant, Nature Runes, Law Runes, Big Bones, Limpwurt Root"
Wilderness,Area: Wilderness,"Lumberyard, Varrock Palace, West Varrock, Edgeville, Monastery, Ice Mountain, Goblin Village, South of Varrock, Lumbridge","Furnace, Chisel, Iron Ore, Coal Ore, Anvil, Meat, Cake Tin, Cheese, Tomato, Oak Tree, Canoe Tree, Zombie, Hill Giant, Deadly Red Spider, Moss Giant, Ice Giant, Lesser Demon, Nature Runes, Law Runes, Big Bones, Limpwurt Root, Bar"
