pickup_number,ptr_address,simple_name,specifier,flag_offset (varA),item_offset (varB),type_num,type_name,subtype_num
64,0x8518170,500,_b,152,4,4,PICKUP,1
65,0x8518230,500,_c,153,4,4,PICKUP,1
66,0x85182fc,500,_d,154,4,4,PICKUP,1
67,0x85199cc,Pitch Black Suit,,53,6,4,PICKUP,4
68,0x8519ca8,Burtgang,,31,14,4,PICKUP,3
69,0x8519f78,Skula,,7,2,4,PICKUP,7
70,0x8519ff0,Death's Sickle,,43,39,5,HARD_PICKUP,3
71,0x851a0f8,2000,_a,151,6,4,PICKUP,1
72,0x851a1dc,Death's Robe,,60,19,5,HARD_PICKUP,4
73,0x851a3c8,Mystletain,,30,10,4,PICKUP,3
74,0x851cbf0,Pendant,,66,28,4,PICKUP,4
75,0x851cd34,Tasty Meat,,130,4,4,PICKUP,2
76,0x851cd58,Elfin Robe,,59,18,4,PICKUP,4
77,0x851ce00,Rahab's Sword,,27,11,4,PICKUP,3
78,0x851d010,High Mind Up,_c,107,6,4,PICKUP,2
79,0x851d04c,Spoiled Milk,,134,18,4,PICKUP,2
80,0x851d1e4,Mana Prism,_b,118,7,4,PICKUP,2
81,0x851d328,Super Potion,_a,111,2,4,PICKUP,2
82,0x851d400,Super Potion,_b,110,2,4,PICKUP,2
83,0x851d568,Milican's Sword,,25,8,4,PICKUP,3
84,0x851d7fc,Armor of Water,,61,22,4,PICKUP,4
85,0x851d820,Galamoth,,9,6,4,PICKUP,8
86,0x851d8e0,Ronginus' Spear,,45,49,4,PICKUP,3
87,0x851d97c,1000,_d,148,5,4,PICKUP,1
88,0x851d994,Handgun,,48,55,4,PICKUP,3
89,0x851da78,Ancient Book 3,,80,28,4,PICKUP,2
90,0x851dacc,2000,_b,149,6,4,PICKUP,1
91,0x851dc28,Rune Ring,,73,41,4,PICKUP,4
92,0x851dc70,Osafune,,38,29,4,PICKUP,3
93,0x851dce8,Super Potion,_c,113,2,4,PICKUP,2
94,0x851dd24,Eversing,,56,15,4,PICKUP,4
95,0x851dd78,2000,_c,150,6,4,PICKUP,1
96,0x851e258,High Potion,_d,104,1,4,PICKUP,2
97,0x851e324,Gold Ring,,75,43,4,PICKUP,4
98,0x851f1cc,Giant Bat,,8,2,4,PICKUP,6
99,0x851f280,Laevatain,,29,13,4,PICKUP,3
100,0x851f5f8,Black Cloak,,65,27,4,PICKUP,4
101,0x851f8b0,Olrox's Suit,,54,7,4,PICKUP,4
102,0x851f8d4,Silver Handgun,,49,56,5,HARD_PICKUP,3
103,0x851f8e0,Balmung,,24,17,4,PICKUP,3
104,0x851f904,Rare Ring,,72,39,4,PICKUP,4
105,0x851f940,High Potion,_e,103,1,4,PICKUP,2
106,0x8520bac,Dracula's Tunic,,55,8,4,PICKUP,4
107,0x8520bb8,Black Panther,,10,3,4,PICKUP,6
108,0x8520bd0,Mana Prism,_c,116,7,4,PICKUP,2
109,0x8520c18,Tear of Blood,,70,37,5,HARD_PICKUP,4
110,0x8520c30,Gungner,,44,48,4,PICKUP,3
111,0x8520d68,Hippogryph,,5,5,4,PICKUP,8
112,0x8520e04,Satan's Ring,,69,36,4,PICKUP,4
113,0x85211e8,Mana Prism,_d,117,7,4,PICKUP,2
114,0x852135c,Super Potion,_d,112,2,4,PICKUP,2
115,0x8521380,Kaladbolg,,32,15,4,PICKUP,3
116,0x8521c58,Claimh Solais,,35,25,4,PICKUP,3
117,0x8521d00,Joyeuse,,36,22,4,PICKUP,3
118,0x8523cbc,Super Potion,_e,114,2,4,PICKUP,2
119,0x8523d94,High Mind Up,_d,108,6,4,PICKUP,2
120,0x8523db8,Mana Prism,_e,119,7,4,PICKUP,2
