id,name,classification,groups,mod_name
57,Wicked Kris,filler,"WEAPON,DEPRECATED",
58,Bone Sword,filler,"WEAPON,DEPRECATED",
59,Ossified Blade,filler,"WEAPON,DEPRECATED",
60,Space Boots,filler,"FOOTWEAR,DEPRECATED",
61,Crystal Shoes,filler,"FOOTWEAR,DEPRECATED",
62,Steel Falchion,filler,"WEAPON,DEPRECATED",
63,The Slammer,filler,"WEAPON,DEPRECATED",
64,Skull Key,progression,,
65,Progressive Hoe,progression,PROGRESSIVE_TOOLS,
66,Progressive Pickaxe,progression,PROGRESSIVE_TOOLS,
67,Progressive Axe,progression,PROGRESSIVE_TOOLS,
68,Progressive Watering Can,progression,PROGRESSIVE_TOOLS,
69,Progressive Trash Can,progression,PROGRESSIVE_TOOLS,
70,Progressive Fishing Rod,progression,PROGRESSIVE_TOOLS,
71,Golden Scythe,useful,DEPRECATED,
72,Progressive Mine Elevator,progression,,
73,Farming Level,progression,SKILL_LEVEL_UP,
74,Fishing Level,progression,SKILL_LEVEL_UP,
75,Foraging Level,progression,SKILL_LEVEL_UP,
76,Mining Level,progression,SKILL_LEVEL_UP,
77,Combat Level,progression,SKILL_LEVEL_UP,
78,Earth Obelisk,progression,WIZARD_BUILDING,
79,Water Obelisk,progression,WIZARD_BUILDING,
80,Desert Obelisk,progression,WIZARD_BUILDING,
81,Island Obelisk,progression,"WIZARD_BUILDING,GINGER_ISLAND",
82,Junimo Hut,useful,WIZARD_BUILDING,
83,Gold Clock,progression,WIZARD_BUILDING,
84,Progressive Coop,progression,BUILDING,
85,Progressive Barn,progression,BUILDING,
86,Well,useful,BUILDING,
87,Silo,progression,BUILDING,
88,Mill,progression,BUILDING,
89,Progressive Shed,progression,BUILDING,
90,Fish Pond,progression,BUILDING,
91,Stable,useful,BUILDING,
92,Slime Hutch,progression,BUILDING,
93,Shipping Bin,progression,BUILDING,
94,Beach Bridge,progression,,
95,Adventurer's Guild,progression,DEPRECATED,
96,Club Card,progression,,
97,Magnifying Glass,progression,,
98,Bear's Knowledge,progression,,
99,Iridium Snake Milk,useful,,
100,JotPK: Progressive Boots,progression,ARCADE_MACHINE_BUFFS,
101,JotPK: Progressive Gun,progression,ARCADE_MACHINE_BUFFS,
102,JotPK: Progressive Ammo,progression,ARCADE_MACHINE_BUFFS,
103,JotPK: Extra Life,progression,ARCADE_MACHINE_BUFFS,
104,JotPK: Increased Drop Rate,progression,ARCADE_MACHINE_BUFFS,
105,Junimo Kart: Extra Life,progression,ARCADE_MACHINE_BUFFS,
106,Galaxy Sword,filler,"WEAPON,DEPRECATED",
107,Galaxy Dagger,filler,"WEAPON,DEPRECATED",
108,Galaxy Hammer,filler,"WEAPON,DEPRECATED",
109,Movement Speed Bonus,useful,,
110,Luck Bonus,filler,PLAYER_BUFF,
111,Lava Katana,filler,"WEAPON,DEPRECATED",
112,Progressive House,progression,,
113,Traveling Merchant: Sunday,progression,TRAVELING_MERCHANT_DAY,
114,Traveling Merchant: Monday,progression,TRAVELING_MERCHANT_DAY,
115,Traveling Merchant: Tuesday,progression,TRAVELING_MERCHANT_DAY,
116,Traveling Merchant: Wednesday,progression,TRAVELING_MERCHANT_DAY,
117,Traveling Merchant: Thursday,progression,TRAVELING_MERCHANT_DAY,
118,Traveling Merchant: Friday,progression,TRAVELING_MERCHANT_DAY,
119,Traveling Merchant: Saturday,progression,TRAVELING_MERCHANT_DAY,
120,Traveling Merchant Stock Size,useful,,
121,Traveling Merchant Discount,useful,DEPRECATED,
122,Return Scepter,useful,,
123,Progressive Season,progression,,
124,Spring,progression,SEASON,
125,Summer,progression,SEASON,
126,Fall,progression,SEASON,
127,Winter,progression,SEASON,
128,Amaranth Seeds,progression,CROPSANITY,
129,Artichoke Seeds,progression,CROPSANITY,
130,Beet Seeds,progression,CROPSANITY,
131,Jazz Seeds,progression,CROPSANITY,
132,Blueberry Seeds,progression,CROPSANITY,
133,Bok Choy Seeds,progression,CROPSANITY,
134,Cauliflower Seeds,progression,CROPSANITY,
135,Corn Seeds,progression,CROPSANITY,
136,Cranberry Seeds,progression,CROPSANITY,
137,Eggplant Seeds,progression,CROPSANITY,
138,Fairy Seeds,progression,CROPSANITY,
139,Garlic Seeds,progression,CROPSANITY,
140,Grape Starter,progression,CROPSANITY,
141,Bean Starter,progression,CROPSANITY,
142,Hops Starter,progression,CROPSANITY,
143,Pepper Seeds,progression,CROPSANITY,
144,Kale Seeds,progression,CROPSANITY,
145,Melon Seeds,progression,CROPSANITY,
146,Parsnip Seeds,progression,CROPSANITY,
147,Poppy Seeds,progression,CROPSANITY,
148,Potato Seeds,progression,CROPSANITY,
149,Pumpkin Seeds,progression,CROPSANITY,
150,Radish Seeds,progression,CROPSANITY,
151,Red Cabbage Seeds,progression,CROPSANITY,
152,Rhubarb Seeds,progression,CROPSANITY,
153,Starfruit Seeds,progression,CROPSANITY,
154,Strawberry Seeds,progression,CROPSANITY,
155,Spangle Seeds,progression,CROPSANITY,
156,Sunflower Seeds,progression,CROPSANITY,
157,Tomato Seeds,progression,CROPSANITY,
158,Tulip Bulb,progression,CROPSANITY,
159,Rice Shoot,progression,CROPSANITY,
160,Wheat Seeds,progression,CROPSANITY,
161,Yam Seeds,progression,CROPSANITY,
162,Cactus Seeds,progression,CROPSANITY,
163,Magic Rock Candy,useful,"MUSEUM,RESOURCE_PACK,RESOURCE_PACK_USEFUL",
164,Ancient Seeds Recipe,progression,MUSEUM,
165,Ancient Seeds,progression,"MUSEUM,RESOURCE_PACK,RESOURCE_PACK_USEFUL",
166,Traveling Merchant Metal Detector,progression,MUSEUM,
167,Alex <3,progression,FRIENDSANITY,
168,Elliott <3,progression,FRIENDSANITY,
169,Harvey <3,progression,FRIENDSANITY,
170,Sam <3,progression,FRIENDSANITY,
171,Sebastian <3,progression,FRIENDSANITY,
172,Shane <3,progression,FRIENDSANITY,
173,Abigail <3,progression,FRIENDSANITY,
174,Emily <3,progression,FRIENDSANITY,
175,Haley <3,progression,FRIENDSANITY,
176,Leah <3,progression,FRIENDSANITY,
177,Maru <3,progression,FRIENDSANITY,
178,Penny <3,progression,FRIENDSANITY,
179,Caroline <3,progression,FRIENDSANITY,
180,Clint <3,progression,FRIENDSANITY,
181,Demetrius <3,progression,FRIENDSANITY,
182,Dwarf <3,progression,FRIENDSANITY,
183,Evelyn <3,progression,FRIENDSANITY,
184,George <3,progression,FRIENDSANITY,
185,Gus <3,progression,FRIENDSANITY,
186,Jas <3,progression,FRIENDSANITY,
187,Jodi <3,progression,FRIENDSANITY,
188,Kent <3,progression,FRIENDSANITY,
189,Krobus <3,progression,FRIENDSANITY,
190,Leo <3,progression,"FRIENDSANITY,GINGER_ISLAND",
191,Lewis <3,progression,FRIENDSANITY,
192,Linus <3,progression,FRIENDSANITY,
193,Marnie <3,progression,FRIENDSANITY,
194,Pam <3,progression,FRIENDSANITY,
195,Pierre <3,progression,FRIENDSANITY,
196,Robin <3,progression,FRIENDSANITY,
197,Sandy <3,progression,FRIENDSANITY,
198,Vincent <3,progression,FRIENDSANITY,
199,Willy <3,progression,FRIENDSANITY,
200,Wizard <3,progression,FRIENDSANITY,
201,Pet <3,progression,FRIENDSANITY,
202,Rarecrow #1,progression,"FESTIVAL,RARECROW",
203,Rarecrow #2,progression,"FESTIVAL,RARECROW",
204,Rarecrow #3,progression,"FESTIVAL,RARECROW",
205,Rarecrow #4,progression,"FESTIVAL,RARECROW",
206,Rarecrow #5,progression,"FESTIVAL,RARECROW",
207,Rarecrow #6,progression,"FESTIVAL,RARECROW",
208,Rarecrow #7,progression,"FESTIVAL,RARECROW",
209,Rarecrow #8,progression,"FESTIVAL,RARECROW",
210,Straw Hat,filler,FESTIVAL,
211,Golden Pumpkin,useful,FESTIVAL,
212,Barbed Hook,useful,FESTIVAL,
213,Dressed Spinner,useful,FESTIVAL,
214,Magnet,useful,FESTIVAL,
215,Sailor's Cap,filler,FESTIVAL,
216,Pearl,useful,FESTIVAL,
217,Cone Hat,filler,FESTIVAL,
218,Iridium Fireplace,filler,FESTIVAL,
219,Lupini: Red Eagle,filler,FESTIVAL,
220,Lupini: Portrait Of A Mermaid,filler,FESTIVAL,
221,Lupini: Solar Kingdom,filler,FESTIVAL,
222,Lupini: Clouds,filler,FESTIVAL,
223,Lupini: 1000 Years From Now,filler,FESTIVAL,
224,Lupini: Three Trees,filler,FESTIVAL,
225,Lupini: The Serpent,filler,FESTIVAL,
226,Lupini: 'Tropical Fish #173',filler,FESTIVAL,
227,Lupini: Land Of Clay,filler,FESTIVAL,
228,Special Order Board,progression,SPECIAL_ORDER_BOARD,
229,Solar Panel Recipe,progression,SPECIAL_ORDER_BOARD,
230,Geode Crusher Recipe,progression,SPECIAL_ORDER_BOARD,
231,Farm Computer Recipe,progression,SPECIAL_ORDER_BOARD,
232,Bone Mill Recipe,progression,SPECIAL_ORDER_BOARD,
233,Fiber Seeds Recipe,progression,SPECIAL_ORDER_BOARD,
234,Stone Chest Recipe,progression,SPECIAL_ORDER_BOARD,
235,Quality Bobber Recipe,progression,SPECIAL_ORDER_BOARD,
236,Mini-Obelisk Recipe,progression,SPECIAL_ORDER_BOARD,
237,Monster Musk Recipe,progression,SPECIAL_ORDER_BOARD,
239,Sewing Machine,useful,"RESOURCE_PACK_USEFUL,SPECIAL_ORDER_BOARD",
240,Coffee Maker,progression,"RESOURCE_PACK_USEFUL,SPECIAL_ORDER_BOARD",
241,Mini-Fridge,useful,"RESOURCE_PACK_USEFUL,SPECIAL_ORDER_BOARD",
242,Mini-Shipping Bin,progression,"RESOURCE_PACK_USEFUL,SPECIAL_ORDER_BOARD",
243,Deluxe Fish Tank,useful,"RESOURCE_PACK_USEFUL,SPECIAL_ORDER_BOARD",
244,10 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
245,20 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
246,25 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
247,35 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
248,40 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
249,50 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
250,100 Qi Gems,progression,"GINGER_ISLAND,SPECIAL_ORDER_QI",
251,Rare Seed,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
252,Apple Sapling,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
253,Apricot Sapling,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
254,Cherry Sapling,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
255,Orange Sapling,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
256,Pomegranate Sapling,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
257,Peach Sapling,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
258,Banana Sapling,progression,"GINGER_ISLAND,RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
259,Mango Sapling,progression,"GINGER_ISLAND,RESOURCE_PACK,RESOURCE_PACK_USEFUL,CROPSANITY",
260,Boat Repair,progression,GINGER_ISLAND,
261,Open Professor Snail Cave,progression,GINGER_ISLAND,
262,Island North Turtle,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
263,Island West Turtle,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
264,Island Farmhouse,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
265,Island Mailbox,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
266,Farm Obelisk,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
267,Dig Site Bridge,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
268,Island Trader,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
269,Volcano Bridge,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
270,Volcano Exit Shortcut,useful,"GINGER_ISLAND,WALNUT_PURCHASE",
271,Island Resort,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
272,Parrot Express,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
273,Qi Walnut Room,progression,"GINGER_ISLAND,WALNUT_PURCHASE",
274,Pineapple Seeds,progression,"GINGER_ISLAND,CROPSANITY",
275,Taro Tuber,progression,"GINGER_ISLAND,CROPSANITY",
276,Weather Report,useful,TV_CHANNEL,
277,Fortune Teller,useful,TV_CHANNEL,
278,Livin' Off The Land,useful,TV_CHANNEL,
279,The Queen of Sauce,progression,TV_CHANNEL,
280,Fishing Information Broadcasting Service,useful,TV_CHANNEL,
281,Sinister Signal,filler,TV_CHANNEL,
282,Dark Talisman,progression,,
283,Ostrich Incubator Recipe,progression,GINGER_ISLAND,
284,Cute Baby,progression,BABY,
285,Ugly Baby,progression,BABY,
286,Deluxe Scarecrow Recipe,progression,RARECROW,
287,Treehouse,progression,GINGER_ISLAND,
288,Coffee Bean,progression,CROPSANITY,
289,Progressive Weapon,progression,"WEAPON,WEAPON_GENERIC",
290,Progressive Sword,progression,"WEAPON,WEAPON_SWORD",
291,Progressive Club,progression,"WEAPON,WEAPON_CLUB",
292,Progressive Dagger,progression,"WEAPON,WEAPON_DAGGER",
293,Progressive Slingshot,progression,"WEAPON,WEAPON_SLINGSHOT",
294,Progressive Footwear,useful,FOOTWEAR,
295,Small Glow Ring,filler,"RING,RESOURCE_PACK,MAXIMUM_ONE",
296,Glow Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
297,Small Magnet Ring,filler,"RING,RESOURCE_PACK,MAXIMUM_ONE",
298,Magnet Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
299,Slime Charmer Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
300,Warrior Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
301,Vampire Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
302,Savage Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
303,Ring of Yoba,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
304,Sturdy Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
305,Burglar's Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
306,Iridium Band,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
307,Jukebox Ring,filler,"RING,RESOURCE_PACK,MAXIMUM_ONE",
308,Amethyst Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
309,Topaz Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
310,Aquamarine Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
311,Jade Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
312,Emerald Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
313,Ruby Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
314,Wedding Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
315,Crabshell Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
316,Napalm Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
317,Thorns Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
318,Lucky Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
319,Hot Java Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
320,Protection Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
321,Soul Sapper Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
322,Phoenix Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
323,Immunity Band,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
324,Glowstone Ring,useful,"RING,RESOURCE_PACK,MAXIMUM_ONE",
325,Fairy Dust Recipe,progression,"GINGER_ISLAND",
326,Heavy Tapper Recipe,progression,"QI_CRAFTING_RECIPE,GINGER_ISLAND",
327,Hyper Speed-Gro Recipe,progression,"QI_CRAFTING_RECIPE,GINGER_ISLAND",
328,Deluxe Fertilizer Recipe,progression,QI_CRAFTING_RECIPE,
329,Hopper Recipe,progression,"QI_CRAFTING_RECIPE,GINGER_ISLAND",
330,Magic Bait Recipe,progression,"QI_CRAFTING_RECIPE,GINGER_ISLAND",
331,Jack-O-Lantern Recipe,progression,FESTIVAL,
333,Tub o' Flowers Recipe,progression,FESTIVAL,
335,Moonlight Jellies Banner,filler,FESTIVAL,
336,Starport Decal,filler,FESTIVAL,
337,Golden Egg,progression,"RESOURCE_PACK,RESOURCE_PACK_USEFUL",
340,Algae Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
341,Artichoke Dip Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
342,Autumn's Bounty Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
343,Baked Fish Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
344,Banana Pudding Recipe,progression,"CHEFSANITY,GINGER_ISLAND,CHEFSANITY_PURCHASE",
345,Bean Hotpot Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
346,Blackberry Cobbler Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
347,Blueberry Tart Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
348,Bread Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_FRIENDSHIP,CHEFSANITY_PURCHASE",
349,Bruschetta Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
350,Carp Surprise Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
351,Cheese Cauliflower Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
352,Chocolate Cake Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
353,Chowder Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
354,Coleslaw Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
355,Complete Breakfast Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
356,Cookies Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
357,Crab Cakes Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
358,Cranberry Candy Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
359,Cranberry Sauce Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
360,Crispy Bass Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
361,Dish O' The Sea Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
362,Eggplant Parmesan Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
363,Escargot Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
364,Farmer's Lunch Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
365,Fiddlehead Risotto Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
366,Fish Stew Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
367,Fish Taco Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
368,Fried Calamari Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
369,Fried Eel Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
370,Fried Egg Recipe,progression,CHEFSANITY_STARTER,
371,Fried Mushroom Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
372,Fruit Salad Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
373,Ginger Ale Recipe,progression,"CHEFSANITY,GINGER_ISLAND,CHEFSANITY_PURCHASE",
374,Glazed Yams Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
375,Hashbrowns Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
376,Ice Cream Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
377,Lobster Bisque Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_FRIENDSHIP",
378,Lucky Lunch Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
379,Maki Roll Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
380,Mango Sticky Rice Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP,GINGER_ISLAND",
381,Maple Bar Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
382,Miner's Treat Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
383,Omelet Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
384,Pale Broth Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
385,Pancakes Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
386,Parsnip Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
387,Pepper Poppers Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
388,Pink Cake Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
389,Pizza Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
390,Plum Pudding Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
391,Poi Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP,GINGER_ISLAND",
392,Poppyseed Muffin Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
393,Pumpkin Pie Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
394,Pumpkin Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
395,Radish Salad Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
396,Red Plate Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
397,Rhubarb Pie Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
398,Rice Pudding Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
399,Roasted Hazelnuts Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
400,Roots Platter Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
401,Salad Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
402,Salmon Dinner Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
403,Sashimi Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
404,Seafoam Pudding Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
405,Shrimp Cocktail Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
406,Spaghetti Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
407,Spicy Eel Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
408,Squid Ink Ravioli Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
409,Stir Fry Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
410,Strange Bun Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
411,Stuffing Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
412,Super Meal Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
413,Survival Burger Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
414,Tom Kha Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
415,Tortilla Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS,CHEFSANITY_PURCHASE",
416,Triple Shot Espresso Recipe,progression,"CHEFSANITY,CHEFSANITY_PURCHASE",
417,Tropical Curry Recipe,progression,"CHEFSANITY,GINGER_ISLAND,CHEFSANITY_PURCHASE",
418,Trout Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_QOS",
419,Vegetable Medley Recipe,progression,"CHEFSANITY,CHEFSANITY_FRIENDSHIP",
420,Moss Soup Recipe,progression,"CHEFSANITY,CHEFSANITY_SKILL",
425,Gate Recipe,progression,CRAFTSANITY,
426,Wood Fence Recipe,progression,CRAFTSANITY,
427,Deluxe Retaining Soil Recipe,progression,"CRAFTSANITY,GINGER_ISLAND",
428,Grass Starter Recipe,progression,CRAFTSANITY,
429,Wood Floor Recipe,progression,CRAFTSANITY,
430,Rustic Plank Floor Recipe,progression,CRAFTSANITY,
431,Straw Floor Recipe,progression,CRAFTSANITY,
432,Weathered Floor Recipe,progression,CRAFTSANITY,
433,Crystal Floor Recipe,progression,CRAFTSANITY,
434,Stone Floor Recipe,progression,CRAFTSANITY,
435,Stone Walkway Floor Recipe,progression,CRAFTSANITY,
436,Brick Floor Recipe,progression,CRAFTSANITY,
437,Wood Path Recipe,progression,CRAFTSANITY,
438,Gravel Path Recipe,progression,CRAFTSANITY,
439,Cobblestone Path Recipe,progression,CRAFTSANITY,
440,Stepping Stone Path Recipe,progression,CRAFTSANITY,
441,Crystal Path Recipe,progression,CRAFTSANITY,
442,Wedding Ring Recipe,progression,CRAFTSANITY,
443,Warp Totem: Desert Recipe,progression,CRAFTSANITY,
444,Warp Totem: Island Recipe,progression,"CRAFTSANITY,GINGER_ISLAND",
445,Torch Recipe,progression,CRAFTSANITY,
446,Campfire Recipe,progression,CRAFTSANITY,
447,Wooden Brazier Recipe,progression,CRAFTSANITY,
