item_number,name,progression,useful,filler
110,Death's Robe,FALSE,TRUE,
111,Demon's Mail,FALSE,TRUE,
112,Armor of Fire,FALSE,,
113,Armor of Water,FALSE,,
114,Blocking Mail,FALSE,,
115,Army Jacket,FALSE,,
116,Cape,FALSE,,TRUE
117,Crimson Cloak,FALSE,,
118,Black Cloak,FALSE,,
119,Pendant,FALSE,,
120,Heart Pendant,FALSE,,
121,Scarf,FALSE,,TRUE
122,Red Scarf,FALSE,,
123,Ancient Belt,FALSE,,
124,Black Belt,FALSE,,
125,Skull Necklace,FALSE,,
126,Flame Necklace,FALSE,,
127,Satan's Ring,FALSE,,
128,Tear of Blood,FALSE,,
129,Lucky Charm,FALSE,,
130,Rare Ring,FALSE,TRUE,
131,Soul Eater Ring,FALSE,TRUE,
132,Rune Ring,FALSE,TRUE,
133,Sherman Ring,FALSE,TRUE,
134,Gold Ring,FALSE,TRUE,
135,Chaos Ring,FALSE,TRUE,
136,Winged Skeleton,FALSE,,
137,Bat,FALSE,,
138,Skeleton,FALSE,,
139,Merman,FALSE,,
140,Axe Armor,FALSE,,
141,Skull Archer,FALSE,,
142,Killer Fish,FALSE,,
143,Blue Crow,FALSE,,
144,Zombie Soldier,FALSE,,
145,Ghost,FALSE,,
146,Siren,FALSE,,
147,Tiny Devil,FALSE,,
148,Durga,FALSE,,
149,Rock Armor,FALSE,,
150,Student Witch,FALSE,,
151,Arachne,FALSE,,
152,Fleaman,FALSE,,
153,Evil Butcher,FALSE,,
154,Waiter Skeleton,FALSE,,
155,Altair,FALSE,,
156,Mudman,FALSE,,
157,Cockatrice,FALSE,,
158,Werewolf,FALSE,,
159,Harpy,FALSE,,
160,Une,FALSE,,
161,Needles,FALSE,,
162,Man-Eater,FALSE,,
163,Ukoback,FALSE,,
164,Fish Head,FALSE,,
165,Disc Armor,FALSE,,
166,Nightmare,FALSE,,
167,Slime,FALSE,,
168,Dryad,FALSE,,
169,Ripper,FALSE,,
170,Werejaguar,FALSE,,
171,Weretiger,FALSE,,
172,Biphron,FALSE,,
173,Mandragora,FALSE,,
174,Beam Skeleton,FALSE,,
175,Skull Millione,FALSE,,
176,Giant Skeleton,FALSE,,
177,Gladiator,FALSE,,
178,Demon Lord,FALSE,,
179,Flame Demon,TRUE,,
180,Lightning Doll,FALSE,,
181,Valkyrie,FALSE,,
182,Bomber Armor,FALSE,,
183,Red Minotaur,FALSE,,
184,Legion,FALSE,,
185,Balore,FALSE,,
186,Killer Doll,FALSE,,
187,Nemesis,FALSE,,
188,Killer Mantle,FALSE,,
189,Kyoma Demon,FALSE,,
190,Chronomage,TRUE,,
191,Cagnazzo,FALSE,,
192,Flying Armor,TRUE,,
193,Giant Bat,TRUE,,
194,Black Panther,TRUE,,
195,Buer,FALSE,,
196,Witch,FALSE,,
197,Giant Ghost,FALSE,,
198,Final Guard,FALSE,,
199,Great Armor,FALSE,,
200,Catoblepas,FALSE,,
201,Bone Pillar,FALSE,,
202,Cagnazzo,FALSE,,
203,Big Golem,FALSE,,
204,Shadow Knight,FALSE,,
205,Creaking Skull,FALSE,,
206,Medusa Head,FALSE,,
207,Persephone,FALSE,,
208,Alura Une,FALSE,,
209,Devil,TRUE,,
210,Manticore,TRUE,,
211,Curly,TRUE,,
212,Sky Fish,FALSE,,
213,Imp,FALSE,,
214,Alastor,FALSE,,
215,Death,FALSE,,
216,Undine,TRUE,,
217,Skula,TRUE,,
218,Zombie Officer,FALSE,,
219,Iron Golem,FALSE,,
220,Dead Warrior,FALSE,,
221,Peeping Eye,FALSE,,
222,Succubus,TRUE,,
223,Flesh Golem,FALSE,,
224,Tsuchinoko,FALSE,,
225,Giant Worm,FALSE,,
226,Wooden Golem,FALSE,,
227,Zombie,FALSE,,
228,Lubicant,FALSE,,
229,Headhunter,FALSE,,
230,Basilisk,FALSE,,
231,Erinys,FALSE,,
232,Mimic,FALSE,,
233,Arc Demon,FALSE,,
234,Poison Worm,FALSE,,
235,Ectoplasm,FALSE,,
236,Gargoyle,FALSE,,
237,Skeleton Knight,FALSE,,
238,Minotaur,FALSE,,
239,Golem,FALSE,,
240,Triton,FALSE,,
241,White Dragon,FALSE,,
242,Quezlcoatl,FALSE,,
243,Gorgon,FALSE,,
244,Dead Crusader,FALSE,,
245,Red Crow,FALSE,,
246,Lilith,FALSE,,
247,Bael,FALSE,,
248,Stolas,FALSE,,
249,Ghost Dancer,FALSE,,
250,Gremlin,FALSE,,
251,Grave Keeper,TRUE,,
252,Skeleton Blaze,TRUE,,
253,Malphas,TRUE,,
254,Kicker Skeleton,TRUE,,
255,Hippogryph,TRUE,,
256,Galamoth,FALSE,,
