door_number,door_identifier,room_identifier,dest_room_identifier,door_address,room_index,room_address,door_index_within_room,dest_room_address,x_pos_door,y_pos_door,dest_x_door,dest_y_door,dest_x_offset_door,dest_y_offset_door
202,308:309,308,309,085144C0,92,085144D0,2,08514568,0,2,16,0,0,65488
203,309:308,309,308,08514548,93,08514568,0,085144D0,0,255,0,256,65520,48
204,309:30F,309,30F,08514558,93,08514568,1,085148F8,3,0,0,0,0,0
205,30A:313,30A,313,085145E0,94,085145F0,0,08514B48,1,0,0,0,0,65488
206,30B:308,30B,308,08514660,95,08514680,0,085144D0,255,0,0,0,0,0
207,30B:31A,30B,31A,08514670,95,08514680,1,08514F98,2,0,0,0,0,65488
208,30C:307,30C,307,08514710,96,08514720,0,08514438,255,0,272,256,0,0
209,30D:319,30D,319,085147A0,97,085147D0,0,08514EF8,255,0,0,0,0,0
210,30D:310,30D,310,085147B0,97,085147D0,1,08514988,4,255,256,0,0,0
211,30D:317,30D,317,085147C0,97,085147D0,2,08514D70,5,0,0,0,0,65488
212,30E:319,30E,319,08514840,98,08514860,0,08514EF8,255,0,0,256,0,0
213,30E:007,30E,007,08514850,98,08514860,1,0850F3B4,3,0,0,0,0,65488
214,30F:309,30F,309,085148C8,99,085148F8,0,08514568,255,0,528,0,0,65488
215,30F:313,30F,313,085148D8,99,085148F8,1,08514B48,255,1,272,0,0,65488
216,30F:316,30F,316,085148E8,99,085148F8,2,08514CE8,1,1,0,0,0,65488
217,310:30D,310,30D,08514978,100,08514988,0,085147D0,1,1,1024,0,0,65488
218,311:300,311,300,085149F8,101,08514A08,0,08513F98,255,0,0,256,0,0
219,312:305,312,305,08514A90,102,08514AB0,0,085142A8,255,0,0,0,0,65488
220,312:314,312,314,08514AA0,102,08514AB0,1,08514BF8,2,0,0,0,0,65488
221,313:30A,313,30A,08514B28,103,08514B48,0,085145F0,255,0,0,0,0,65488
222,313:30F,313,30F,08514B38,103,08514B48,1,085148F8,2,0,0,256,0,0
223,314:312,314,312,08514BC8,104,08514BF8,0,08514AB0,255,0,272,0,0,65488
224,314:315,314,315,08514BD8,104,08514BF8,1,08514C70,1,0,0,0,0,65488
225,314:319,314,319,08514BE8,104,08514BF8,2,08514EF8,0,1,0,0,0,0
226,315:314,315,314,08514C60,105,08514C70,0,08514BF8,255,0,0,0,0,65488
227,316:30F,316,30F,08514CD8,106,08514CE8,0,085148F8,255,0,0,256,0,0
228,317:30D,317,30D,08514D50,107,08514D70,0,085147D0,255,0,1040,0,0,65488
229,317:403,317,403,08514D60,107,08514D70,1,08515CD0,1,0,0,256,0,0
230,318:302,318,302,08514DF8,108,08514E28,0,085140C0,255,0,0,0,0,65488
231,318:306,318,306,08514E08,108,08514E28,1,08514370,1,0,0,0,0,0
232,318:306,318,306,08514E18,108,08514E28,2,08514370,1,1,0,256,0,0
233,319:314,319,314,08514EA8,109,08514EF8,0,08514BF8,0,255,0,0,0,0
234,319:306,319,306,08514EB8,109,08514EF8,1,08514370,255,0,272,0,0,0
235,319:30D,319,30D,08514EC8,109,08514EF8,2,085147D0,1,0,0,0,0,65488
236,319:306,319,306,08514ED8,109,08514EF8,3,08514370,255,1,272,256,0,0
237,319:30E,319,30E,08514EE8,109,08514EF8,4,08514860,1,1,0,0,0,65488
238,31A:30B,31A,30B,08514F78,110,08514F98,0,08514680,255,0,272,0,0,65488
239,31A:31B,31A,31B,08514F88,110,08514F98,1,08515038,2,0,0,0,0,0
240,31B:31A,31B,31A,08515018,111,08515038,0,08514F98,255,0,272,0,0,65488
241,31B:31C,31B,31C,08515028,111,08515038,1,085150C8,255,1,784,0,0,65488
242,31C:31B,31C,31B,085150B8,112,085150C8,0,08515038,4,0,0,256,0,0
243,400:401,400,401,08515AE0,113,08515AF0,0,08515B90,0,1,0,0,0,0
244,401:400,401,400,08515B70,114,08515B90,0,08515AF0,0,255,0,0,0,0
245,401:402,401,402,08515B80,114,08515B90,1,08515C30,2,1,0,0,0,65488
246,402:401,402,401,08515C10,115,08515C30,0,08515B90,255,0,272,256,0,0
247,402:404,402,404,08515C20,115,08515C30,1,08515DB0,2,0,0,256,0,0
248,403:404,403,404,08515CB0,116,08515CD0,0,08515DB0,1,0,0,768,0,0
249,403:317,403,317,08515CC0,116,08515CD0,1,08514D70,255,1,0,0,0,65488
250,404:414,404,414,08515D50,117,08515DB0,0,08516768,255,0,0,0,0,65488
251,404:406,404,406,08515D60,117,08515DB0,1,08515EF0,1,0,0,0,0,65488
252,404:402,404,402,08515D70,117,08515DB0,2,08515C30,255,1,272,0,0,65488
253,404:407,404,407,08515D80,117,08515DB0,3,08515F88,1,1,0,0,0,65488
254,404:403,404,403,08515D90,117,08515DB0,4,08515CD0,255,3,0,0,0,0
255,404:405,404,405,08515DA0,117,08515DB0,5,08515E58,0,4,0,0,0,65488
256,405:404,405,404,08515E38,118,08515E58,0,08515DB0,0,255,0,768,0,48
257,405:409,405,409,08515E48,118,08515E58,1,085160D8,1,0,0,0,0,65488
258,406:404,406,404,08515ED0,119,08515EF0,0,08515DB0,255,0,0,0,0,0
259,406:40B,406,40B,08515EE0,119,08515EF0,1,08516200,1,0,0,0,0,65488
260,407:404,407,404,08515F78,120,08515F88,0,08515DB0,255,0,0,256,0,0
261,408:410,408,410,08516000,121,08516040,0,08516510,3,1,0,0,65520,65488
262,408:411,408,411,08516010,121,08516040,1,085165C0,5,255,0,512,65520,48
263,408:413,408,413,08516020,121,08516040,2,085166F0,6,0,0,0,0,65488
264,408:412,408,412,08516030,121,08516040,3,08516648,5,1,256,0,0,65488
265,409:405,409,405,085160C8,122,085160D8,0,08515E58,255,0,0,0,0,65488
266,40A:40E,40A,40E,08516158,123,08516168,0,085163E0,2,5,0,0,0,0
267,40B:406,40B,406,085161E0,124,08516200,0,08515EF0,255,0,0,0,0,65488
268,40B:40E,40B,40E,085161F0,124,08516200,1,085163E0,2,0,0,0,0,0
269,40C:40E,40C,40E,08516278,125,08516288,0,085163E0,2,0,0,256,0,0
270,40D:415,40D,415,08516300,126,08516320,0,085167E8,255,0,0,0,0,65488
271,40D:411,40D,411,08516310,126,08516320,1,085165C0,4,0,0,512,0,0
272,40E:40A,40E,40A,085163A0,127,085163E0,0,08516168,0,255,512,1024,0,48
273,40E:40B,40E,40B,085163B0,127,085163E0,1,08516200,255,0,272,0,0,65488
274,40E:411,40E,411,085163C0,127,085163E0,2,085165C0,2,0,0,0,0,0
275,40E:40C,40E,40C,085163D0,127,085163E0,3,08516288,255,1,272,0,0,65488
276,40F:413,40F,413,08516448,128,08516468,0,085166F0,255,0,272,0,0,65488
277,40F:90A,40F,90A,08516458,128,08516468,1,08520160,1,0,0,0,0,65488
278,410:408,410,408,085164F0,129,08516510,0,08516040,0,255,784,0,0,0
279,410:022,410,022,08516500,129,08516510,1,085103C4,255,0,0,0,0,65488
280,411:40E,411,40E,08516590,130,085165C0,0,085163E0,255,0,272,0,0,0
281,411:40D,411,40D,085165A0,130,085165C0,1,08516320,255,2,784,0,0,65488
282,411:408,411,408,085165B0,130,085165C0,2,08516040,0,3,1296,0,0,65488
283,412:408,412,408,08516638,131,08516648,0,08516040,1,255,1280,0,0,0
284,413:408,413,408,085166D0,132,085166F0,0,08516040,255,0,1296,0,0,65488
285,413:40F,413,40F,085166E0,132,085166F0,1,08516468,2,0,0,0,0,65488
286,414:404,414,404,08516758,133,08516768,0,08515DB0,1,0,0,0,0,0
287,415:40D,415,40D,085167D8,134,085167E8,0,08516320,1,0,0,0,0,65488
288,500:50D,500,50D,08517268,135,085172B8,0,08517AE0,255,0,528,256,0,0
289,500:502,500,502,08517278,135,085172B8,1,08517448,3,0,0,0,0,0
290,500:501,500,501,08517288,135,085172B8,2,08517380,0,2,0,0,0,0
291,500:501,500,501,08517298,135,085172B8,3,08517380,1,2,256,0,0,0
292,500:502,500,502,085172A8,135,085172B8,4,08517448,3,1,0,256,0,0
293,501:500,501,500,08517330,136,08517380,0,085172B8,0,255,0,256,0,48
294,501:500,501,500,08517340,136,08517380,1,085172B8,1,255,256,256,0,48
295,501:503,501,503,08517350,136,08517380,2,08517510,3,0,0,0,0,0
296,501:01B,501,01B,08517360,136,08517380,3,0851000C,255,1,0,0,0,65488
297,501:503,501,503,08517370,136,08517380,4,08517510,3,1,0,256,0,0
298,502:500,502,500,085173F8,137,08517448,0,085172B8,255,0,528,0,0,0
299,502:508,502,508,08517408,137,08517448,1,08517828,3,0,0,256,0,0
300,502:500,502,500,08517418,137,08517448,2,085172B8,255,1,528,256,0,0
301,502:503,502,503,08517428,137,08517448,3,08517510,0,2,0,0,0,0
302,502:503,502,503,08517438,137,08517448,4,08517510,1,2,256,0,0,0
303,503:502,503,502,085174C0,138,08517510,0,08517448,0,255,0,256,0,48
304,503:501,503,501,085174D0,138,08517510,1,08517380,255,0,528,0,0,0
305,503:502,503,502,085174E0,138,08517510,2,08517448,1,255,256,256,0,48
306,503:501,503,501,085174F0,138,08517510,3,08517380,255,1,528,256,0,0
307,503:50C,503,50C,08517500,138,08517510,4,08517A48,3,1,0,0,0,65488
308,504:508,504,508,08517588,139,085175A8,0,08517828,255,2,528,256,0,0
309,504:505,504,505,08517598,139,085175A8,1,08517660,4,2,0,0,0,0
310,505:504,505,504,08517620,140,08517660,0,085175A8,255,0,784,512,0,0
311,505:509,505,509,08517630,140,08517660,1,085178C0,3,0,0,256,0,0
312,505:50B,505,50B,08517640,140,08517660,2,085179D0,0,1,0,0,224,65488
313,505:507,505,507,08517650,140,08517660,3,08517790,2,2,0,0,65520,65488
314,506:50E,506,50E,085176D8,141,085176F8,0,08517B70,255,0,0,0,0,65488
315,506:507,506,507,085176E8,141,085176F8,1,08517790,2,0,0,0,0,65488
316,507:505,507,505,08517770,142,08517790,0,08517660,0,255,528,256,0,48
317,507:506,507,506,08517780,142,08517790,1,085176F8,255,0,272,0,0,65488
318,508:502,508,502,08517808,143,08517828,0,08517448,255,1,528,0,0,0
319,508:504,508,504,08517818,143,08517828,1,085175A8,3,1,0,512,0,0
320,509:50A,509,50A,085178A0,144,085178C0,0,08517958,255,1,528,256,0,0
321,509:50D,509,50D,085178B0,144,085178C0,1,08517AE0,3,1,0,256,0,0
