Team,Level,Name,Code,Act,Region,Rule,Location Type,Hint Info,Notes
Rose,Lost Jungle,Lost Jungle Rose Act 1,0x93930106,1,Lost Jungle Rose Goal,,Level,,
Rose,Lost Jungle,Lost Jungle Rose Act 2,0x93930107,2,Lost Jungle Rose Goal,,Level,,
Rose,Hang Castle,Hang Castle Rose Act 1,0x93930108,1,Hang Castle Rose Goal,,Level,,
Rose,Hang Castle,Hang Castle Rose Act 2,0x93930109,2,Hang Castle Rose Goal,,Level,,
Rose,Mystic Mansion,Mystic Mansion Rose Act 1,0x9393010a,1,Mystic Mansion Rose Goal,,Level,,
Rose,Mystic Mansion,Mystic Mansion Rose Act 2,0x9393010b,2,Mystic Mansion Rose Goal,,Level,,
Rose,Egg Fleet,Egg Fleet Rose Act 1,0x9393010c,1,Egg Fleet Rose Goal,,Level,,
Rose,Egg Fleet,Egg Fleet Rose Act 2,0x9393010d,2,Egg Fleet Rose Goal,,Level,,
Rose,Final Fortress,Final Fortress Rose Act 1,0x9393010e,1,Final Fortress Rose Goal,,Level,,
Rose,Final Fortress,Final Fortress Rose Act 2,0x9393010f,2,Final Fortress Rose Goal,,Level,,
Rose,Egg Hawk,Egg Hawk Rose,0x93930110,0,Egg Hawk,,Boss,,
Rose,Team Fight 1,Team Fight 1 Rose,0x93930112,0,Team Fight 1,,Boss,,
Rose,Robot Carnival,Robot Carnival Rose,0x93930114,0,Robot Carnival,,Boss,,
Rose,Egg Albatross,Egg Albatross Rose,0x93930116,0,Egg Albatross,,Boss,,
Rose,Team Fight 2,Team Fight 2 Rose,0x93930118,0,Team Fight 2,,Boss,,
Rose,Robot Storm,Robot Storm Rose,0x9393011a,0,Robot Storm,,Boss,,
Rose,Egg Emperor,Egg Emperor Rose,0x9393011c,0,Egg Emperor,,Boss,,
Chaotix,Seaside Hill,Seaside Hill Chaotix Act 1,0x9393011e,1,Seaside Hill Chaotix Goal,,Level,,
Chaotix,Seaside Hill,Seaside Hill Chaotix Act 2,0x9393011f,2,Seaside Hill Chaotix Goal,,Level,,
Chaotix,Ocean Palace,Ocean Palace Chaotix Act 1,0x93930120,1,Ocean Palace Chaotix Goal,,Level,,
Chaotix,Ocean Palace,Ocean Palace Chaotix Act 2,0x93930121,2,Ocean Palace Chaotix Goal,,Level,,
Chaotix,Grand Metropolis,Grand Metropolis Chaotix Act 1,0x93930122,1,Grand Metropolis Chaotix Goal,,Level,,
Chaotix,Grand Metropolis,Grand Metropolis Chaotix Act 2,0x93930123,2,Grand Metropolis Chaotix Goal,,Level,,
Chaotix,Power Plant,Power Plant Chaotix Act 1,0x93930124,1,Power Plant Chaotix Goal,,Level,,
Chaotix,Power Plant,Power Plant Chaotix Act 2,0x93930125,2,Power Plant Chaotix Goal,,Level,,
Chaotix,Casino Park,Casino Park Chaotix Act 1,0x93930126,1,Casino Park Chaotix Goal,,Level,,
Chaotix,Casino Park,Casino Park Chaotix Act 2,0x93930127,2,Casino Park Chaotix Goal,,Level,,
Chaotix,Bingo Highway,Bingo Highway Chaotix Act 1,0x93930128,1,Bingo Highway Chaotix Goal,,Level,,
Chaotix,Bingo Highway,Bingo Highway Chaotix Act 2,0x93930129,2,Bingo Highway Chaotix Goal,,Level,,
Chaotix,Rail Canyon,Rail Canyon Chaotix Act 1,0x9393012a,1,Rail Canyon Chaotix Goal,,Level,,
Chaotix,Rail Canyon,Rail Canyon Chaotix Act 2,0x9393012b,2,Rail Canyon Chaotix Goal,,Level,,
Chaotix,Bullet Station,Bullet Station Chaotix Act 1,0x9393012c,1,Bullet Station Chaotix Goal,,Level,,
Chaotix,Bullet Station,Bullet Station Chaotix Act 2,0x9393012d,2,Bullet Station Chaotix Goal,,Level,,
Chaotix,Frog Forest,Frog Forest Chaotix Act 1,0x9393012e,1,Frog Forest Chaotix Goal,,Level,,
Chaotix,Frog Forest,Frog Forest Chaotix Act 2,0x9393012f,2,Frog Forest Chaotix Goal,,Level,,
Chaotix,Lost Jungle,Lost Jungle Chaotix Act 1,0x93930130,1,Lost Jungle Chaotix Goal,,Level,,
Chaotix,Lost Jungle,Lost Jungle Chaotix Act 2,0x93930131,2,Lost Jungle Chaotix Goal,,Level,,
Chaotix,Hang Castle,Hang Castle Chaotix Act 1,0x93930132,1,Hang Castle Chaotix Goal,,Level,,
Chaotix,Hang Castle,Hang Castle Chaotix Act 2,0x93930133,2,Hang Castle Chaotix Goal,,Level,,
Chaotix,Mystic Mansion,Mystic Mansion Chaotix Act 1,0x93930134,1,Mystic Mansion Chaotix Goal,,Level,,
Chaotix,Mystic Mansion,Mystic Mansion Chaotix Act 2,0x93930135,2,Mystic Mansion Chaotix Goal,,Level,,
Chaotix,Egg Fleet,Egg Fleet Chaotix Act 1,0x93930136,1,Egg Fleet Chaotix Goal,,Level,,
Chaotix,Egg Fleet,Egg Fleet Chaotix Act 2,0x93930137,2,Egg Fleet Chaotix Goal,,Level,,
Chaotix,Final Fortress,Final Fortress Chaotix Act 1,0x93930138,1,Final Fortress Chaotix Goal,,Level,,
Chaotix,Final Fortress,Final Fortress Chaotix Act 2,0x93930139,2,Final Fortress Chaotix Goal,,Level,,
Chaotix,Egg Hawk,Egg Hawk Chaotix,0x9393013a,0,Egg Hawk,,Boss,,
Chaotix,Team Fight 1,Team Fight 1 Chaotix,0x9393013c,0,Team Fight 1,,Boss,,
Chaotix,Robot Carnival,Robot Carnival Chaotix,0x9393013e,0,Robot Carnival,,Boss,,
Chaotix,Egg Albatross,Egg Albatross Chaotix,0x93930140,0,Egg Albatross,,Boss,,
Chaotix,Team Fight 2,Team Fight 2 Chaotix,0x93930142,0,Team Fight 2,,Boss,,
Chaotix,Robot Storm,Robot Storm Chaotix,0x93930144,0,Robot Storm,,Boss,,
Chaotix,Egg Emperor,Egg Emperor Chaotix,0x93930146,0,Egg Emperor,,Boss,,
Any Team,Ocean Palace Emerald Stage,Ocean Palace Emerald,0x93930148,0,Ocean Palace Emerald Stage,,Emerald,,
Any Team,Power Plant Emerald Stage,Power Plant Emerald,0x93930149,0,Power Plant Emerald Stage,,Emerald,,
Any Team,Bingo Highway Emerald Stage,Bingo Highway Emerald,0x9393014a,0,Bingo Highway Emerald Stage,,Emerald,,
Any Team,Bullet Station Emerald Stage,Bullet Station Emerald,0x9393014b,0,Bullet Station Emerald Stage,,Emerald,,
Any Team,Lost Jungle Emerald Stage,Lost Jungle Emerald,0x9393014c,0,Lost Jungle Emerald Stage,,Emerald,,
Any Team,Mystic Mansion Emerald Stage,Mystic Mansion Emerald,0x9393014d,0,Mystic Mansion Emerald Stage,,Emerald,,
Any Team,Final Fortress Emerald Stage,Final Fortress Emerald,0x9393014e,0,Final Fortress Emerald Stage,,Emerald,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 1,0x93930150,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 2,0x93930151,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 3,0x93930152,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 4,0x93930153,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 5,0x93930154,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 6,0x93930155,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 7,0x93930156,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 8,0x93930157,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 9,0x93930158,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 10,0x93930159,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 11,0x9393015a,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 12,0x9393015b,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 13,0x9393015c,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 14,0x9393015d,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 15,0x9393015e,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 16,0x9393015f,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 17,0x93930160,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 18,0x93930161,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 19,0x93930162,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 20,0x93930163,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 21,0x93930164,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 22,0x93930165,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 23,0x93930166,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 24,0x93930167,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 25,0x93930168,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 26,0x93930169,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 27,0x9393016a,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 28,0x9393016b,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 29,0x9393016c,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 30,0x9393016d,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 31,0x9393016e,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 32,0x9393016f,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 33,0x93930170,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 34,0x93930171,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 35,0x93930172,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 36,0x93930173,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 37,0x93930174,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 38,0x93930175,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 39,0x93930176,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 40,0x93930177,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 41,0x93930178,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 42,0x93930179,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 43,0x9393017a,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 44,0x9393017b,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 45,0x9393017c,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 46,0x9393017d,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 47,0x9393017e,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 48,0x9393017f,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 49,0x93930180,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 50,0x93930181,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 51,0x93930182,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 52,0x93930183,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 53,0x93930184,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 54,0x93930185,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 55,0x93930186,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 56,0x93930187,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 57,0x93930188,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 58,0x93930189,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 59,0x9393018a,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 60,0x9393018b,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 61,0x9393018c,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 62,0x9393018d,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 63,0x9393018e,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 64,0x9393018f,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 65,0x93930190,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 66,0x93930191,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 67,0x93930192,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 68,0x93930193,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 69,0x93930194,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 70,0x93930195,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 71,0x93930196,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 72,0x93930197,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 73,0x93930198,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 74,0x93930199,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 75,0x9393019a,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 76,0x9393019b,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 77,0x9393019c,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 78,0x9393019d,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
Dark,Seaside Hill,Seaside Hill Dark Act 2 Enemies Killed: 79,0x9393019e,2,Seaside Hill Dark ObjSanity,,ObjSanity,,
